"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524200.360,4778999.510,1528.220,7037.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.864
524201.290,4778999.370,1528.360,7231.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.864
524195.780,4778999.960,1527.410,10653.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.857
524196.810,4778999.820,1527.590,8070.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.857
524197.720,4778999.690,1527.780,9555.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,5.000,586328.857
524198.720,4778999.560,1528.000,8329.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,5.000,586328.857
524199.770,4778999.410,1528.150,11040.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.857
524194.340,4778999.920,1527.090,9233.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.850
524195.220,4778999.800,1527.330,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.850
524196.230,4778999.660,1527.460,9362.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.850
524197.120,4778999.530,1527.680,9168.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,3.000,586328.850
524198.030,4778999.410,1527.980,9749.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,17.000,586328.850
524191.820,4778999.970,1526.630,9749.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.843
524192.840,4778999.830,1526.790,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.843
524193.790,4778999.690,1526.930,8329.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.843
524194.570,4778999.580,1527.350,7812.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,17.000,586328.843
524195.680,4778999.430,1527.390,9943.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.843
524190.210,4778999.890,1526.500,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.836
524191.140,4778999.760,1526.750,9103.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.836
524192.230,4778999.610,1526.830,8845.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.836
524193.360,4778999.460,1526.870,9749.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.836
524187.610,4778999.960,1526.280,7812.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.829
524188.210,4778999.880,1526.960,3680.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,66.000,586328.829
524188.620,4778999.830,1526.330,4648.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.829
524189.620,4778999.690,1526.420,10330.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.829
524190.610,4778999.550,1526.620,11299.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.829
524191.470,4778999.430,1526.900,8006.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,9.000,586328.829
524185.970,4778999.950,1525.900,8910.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.822
524186.930,4778999.820,1526.010,11428.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.822
524187.410,4778999.740,1527.030,3163.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,65.000,586328.822
524187.930,4778999.680,1526.240,6973.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.822
524189.050,4778999.530,1526.270,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.822
524189.930,4778999.400,1526.490,8651.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.822
524184.390,4778999.960,1525.680,10136.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.815
524184.890,4778999.880,1526.610,7231.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.815
524186.350,4778999.690,1525.970,8651.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.815
524186.710,4778999.630,1527.060,3615.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,105.000,586328.815
524187.010,4778999.590,1526.600,4390.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,49.000,586328.815
524187.800,4778999.480,1526.950,4390.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,69.000,586328.815
524188.270,4778999.420,1526.230,3551.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.815
524183.580,4778999.910,1525.590,11363.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.807
524184.610,4778999.760,1525.780,12009.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.807
524185.060,4778999.690,1526.670,5294.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,50.000,586328.807
524185.570,4778999.630,1525.900,5036.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.807
524186.000,4778999.560,1526.810,3486.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,82.000,586328.807
